Call ID,Segment,Date,StartTime,Calling Party,DialedNumber,Disposition,DispositionTime,Skill,AnsLogid,TalkTime,HoldTime,ACWTime,TransferedOut,ConferencedIn,Assist,LastCallWorkCode
993924,3,21-07-2017,12:36PM,002V02014,,OTHER,:00,58,,0.0,:00,:00,N,N,N,
993925,1,21-07-2017,12:36PM,8860599620,8052,ABAN,:25,33,,0.0,:00,:00,N,N,N,
993926,3,21-07-2017,12:35PM,002V02012,,OTHER,:00,60,,0.0,:00,:00,N,N,N,
993927,1,21-07-2017,12:37PM,001V03023,,OTHER,:00,0,,0.0,:00,:00,N,N,N,
993928,3,21-07-2017,12:36PM,18851307461,8072,ANS,:12,60,6542,0.3,:00,:05,N,N,N,
993929,3,21-07-2017,12:37PM,32886,1126738299#,OTHER,:00,58,,0.0,:00,:00,N,N,N,
993930,2,21-07-2017,12:36PM,10214,0447758983192#,OTHER,:00,45,,0.0,:00,:00,N,N,N,
993931,3,21-07-2017,12:37PM,32801,8860639097#,OTHER,:00,60,,0.0,:00,:00,N,N,N,
993932,1,21-07-2017,12:37PM,002V02020,,OTHER,:00,0,,0.0,:00,:00,N,N,N,
993933,2,21-07-2017,12:38PM,9643160996,8052,ABAN,:24,39,,0.0,:00,:00,N,N,N,
993934,2,21-07-2017,12:36PM,002V02015,,OTHER,:00,45,,0.0,:00,:00,N,N,N,
993935,3,21-07-2017,12:38PM,002V02023,,OTHER,:00,60,,0.0,:00,:00,N,N,N,
993936,3,21-07-2017,12:38PM,32801,8860639097#,OTHER,:00,60,,0.0,:00,:00,N,N,N,
993937,1,21-07-2017,12:40PM,001V03027,,OTHER,:00,0,,0.0,:00,:00,N,N,N,
993938,1,21-07-2017,12:40PM,9643160996,8052,ABAN,:33,54,,0.0,:00,:00,N,N,N,
993939,1,21-07-2017,12:40PM,002V02025,,OTHER,:00,0,,0.0,:00,:00,N,N,N,
993940,3,21-07-2017,12:40PM,32886,1126738299#,OTHER,:00,58,,0.0,:00,:00,N,N,N,
993941,1,21-07-2017,12:40PM,002V02001,,OTHER,:00,0,,0.0,:00,:00,N,N,N,
993942,2,21-07-2017,12:32PM,4.41E+11,8062,ANS,:09,45,6077,09.05.00,:00,:05,N,Y,N,
993943,1,21-07-2017,12:42PM,002V03030,,OTHER,:00,0,,0.0,:00,:00,N,N,N,
993944,2,21-07-2017,12:27PM,001V03013,,OTHER,:00,46,,0.0,:00,:00,N,N,N,
993945,1,21-07-2017,12:40PM,002V02026,,OTHER,:00,54,,0.0,:00,:00,N,N,N,
993946,1,21-07-2017,12:40PM,002V03029,,OTHER,:00,0,,0.0,:00,:00,N,N,N,
993947,3,21-07-2017,12:40PM,32801,32841,OTHER,:00,60,,0.0,:00,:00,N,N,N,
993948,1,21-07-2017,12:38PM,002V02022,,OTHER,:00,0,,0.0,:00,:00,N,N,N,
993949,1,21-07-2017,12:42PM,002V02027,,OTHER,:00,31,,0.0,:00,:00,N,N,N,
993950,1,21-07-2017,12:15PM,001V03001,,OTHER,:00,33,,0.0,:00,:00,N,N,N,
993951,2,21-07-2017,12:20PM,001V03007,,OTHER,:00,39,,0.0,:00,:00,N,N,N,
993952,1,21-07-2017,12:39PM,001V03026,,OTHER,:00,33,,0.0,:00,:00,N,N,N,
993953,2,21-07-2017,12:32PM,,,CONN,:00,39,,0.0,:00,:00,N,N,N,
